sku,nombre,marca,precio_normal,precio_internet,precio_sbpay,precio_fonasa,descuento_internet_pct,url,imagen,categoria_1,categoria_2,categoria_3,tipo_venta,requiere_receta,bioequivalente,retiro_tienda,despacho_domicilio,stock_global,disponible_comuna,region,comuna,capturado_en
572729,Gel Piel Seca 200 Ml,Bio-Oil,15599,15599,,,,https://salcobrand.cl/products/gel-piel-seca-200-ml?default_sku=572729,https://static.salcobrandonline.cl/spree/products/32578/small/572729.jpg?1641477658,Belleza,Belleza > Skincare,Belleza > Skincare > Cremas,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
587834,Petrizzio Contorno de Ojos Retinol + Ácido Hialurónico,Petrizzio,9099,5459,,,40,https://salcobrand.cl/products/petrizzio-contorno-de-ojos-retinol-acido-hialuronico?default_sku=587834,https://static.salcobrand.cl/spree/products/117316/small/587834.jpg?1721851930,Belleza,Belleza > Make-Up,Belleza > Make-Up > Ojos y Pestañas,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
587834,Petrizzio Contorno de Ojos Retinol + Ácido Hialurónico,Petrizzio,9099,5459,,,40,https://salcobrand.cl/products/petrizzio-contorno-de-ojos-retinol-acido-hialuronico?default_sku=587834,https://static.salcobrand.cl/spree/products/117316/small/587834.jpg?1721851930,Belleza,Belleza > Make-Up,Belleza > Make-Up > Ojos y Pestañas,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
587834,Petrizzio Contorno de Ojos Retinol + Ácido Hialurónico,Petrizzio,9099,5459,,,40,https://salcobrand.cl/products/petrizzio-contorno-de-ojos-retinol-acido-hialuronico?default_sku=587834,https://static.salcobrand.cl/spree/products/117316/small/587834.jpg?1721851930,Belleza,Belleza > Make-Up,Belleza > Make-Up > Ojos y Pestañas,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
5730101,Crema Corporal Pielarmina Clinical Urea al 10% 350ml,Pielarmina,6299,3779,,,40,https://salcobrand.cl/products/crema-body-pielarmina-clinical-urea-al-10-350ml?default_sku=5730101,https://static.salcobrand.cl/spree/products/93706/small/5730101.jpg?1685569107,Belleza,Belleza > Bodycare,Belleza > Bodycare > Pieles Secas,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
5730101,Crema Corporal Pielarmina Clinical Urea al 10% 350ml,Pielarmina,6299,3779,,,40,https://salcobrand.cl/products/crema-body-pielarmina-clinical-urea-al-10-350ml?default_sku=5730101,https://static.salcobrand.cl/spree/products/93706/small/5730101.jpg?1685569107,Belleza,Belleza > Bodycare,Belleza > Bodycare > Pieles Secas,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
5730101,Crema Corporal Pielarmina Clinical Urea al 10% 350ml,Pielarmina,6299,3779,,,40,https://salcobrand.cl/products/crema-body-pielarmina-clinical-urea-al-10-350ml?default_sku=5730101,https://static.salcobrand.cl/spree/products/93706/small/5730101.jpg?1685569107,Belleza,Belleza > Bodycare,Belleza > Bodycare > Pieles Secas,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
591202,Venda Elasticada Coban Bronce No Hurt,Nexcare,11999,11999,,,,https://salcobrand.cl/products/venda-elasticada-coban-bronce-no-hurt?default_sku=591202,https://static.salcobrand.cl/spree/products/146184/small/591202.jpg?1748364577,Cuidado Personal,Cuidado Personal > Primeros Auxilios,Cuidado Personal > Primeros Auxilios > Parches y Cintas,normal,False,False,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
591202,Venda Elasticada Coban Bronce No Hurt,Nexcare,11999,11999,,,,https://salcobrand.cl/products/venda-elasticada-coban-bronce-no-hurt?default_sku=591202,https://static.salcobrand.cl/spree/products/146184/small/591202.jpg?1748364577,Cuidado Personal,Cuidado Personal > Primeros Auxilios,Cuidado Personal > Primeros Auxilios > Parches y Cintas,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
591202,Venda Elasticada Coban Bronce No Hurt,Nexcare,11999,11999,,,,https://salcobrand.cl/products/venda-elasticada-coban-bronce-no-hurt?default_sku=591202,https://static.salcobrand.cl/spree/products/146184/small/591202.jpg?1748364577,Cuidado Personal,Cuidado Personal > Primeros Auxilios,Cuidado Personal > Primeros Auxilios > Parches y Cintas,normal,False,False,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
